dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1809-05-01,,,Rangoon,Burma,16.87N,95.44E
1809-06-01,,,Rangoon,Burma,16.87N,95.44E
1809-07-01,,,Rangoon,Burma,16.87N,95.44E
1809-08-01,,,Rangoon,Burma,16.87N,95.44E
1809-09-01,,,Rangoon,Burma,16.87N,95.44E
1809-10-01,,,Rangoon,Burma,16.87N,95.44E
1809-11-01,,,Rangoon,Burma,16.87N,95.44E
1809-12-01,,,Rangoon,Burma,16.87N,95.44E
1810-01-01,,,Rangoon,Burma,16.87N,95.44E
1810-02-01,,,Rangoon,Burma,16.87N,95.44E
1810-03-01,,,Rangoon,Burma,16.87N,95.44E
1810-04-01,,,Rangoon,Burma,16.87N,95.44E
1810-05-01,,,Rangoon,Burma,16.87N,95.44E
1810-06-01,,,Rangoon,Burma,16.87N,95.44E
1810-07-01,,,Rangoon,Burma,16.87N,95.44E
1810-08-01,,,Rangoon,Burma,16.87N,95.44E
1810-09-01,,,Rangoon,Burma,16.87N,95.44E
1810-10-01,,,Rangoon,Burma,16.87N,95.44E
1810-11-01,,,Rangoon,Burma,16.87N,95.44E
1810-12-01,,,Rangoon,Burma,16.87N,95.44E
1811-01-01,,,Rangoon,Burma,16.87N,95.44E
1811-02-01,,,Rangoon,Burma,16.87N,95.44E
1811-03-01,,,Rangoon,Burma,16.87N,95.44E
1811-04-01,,,Rangoon,Burma,16.87N,95.44E
1811-05-01,,,Rangoon,Burma,16.87N,95.44E
1811-06-01,,,Rangoon,Burma,16.87N,95.44E
1811-07-01,,,Rangoon,Burma,16.87N,95.44E
1811-08-01,,,Rangoon,Burma,16.87N,95.44E
1811-09-01,,,Rangoon,Burma,16.87N,95.44E
1811-10-01,,,Rangoon,Burma,16.87N,95.44E
1811-11-01,,,Rangoon,Burma,16.87N,95.44E
1811-12-01,,,Rangoon,Burma,16.87N,95.44E
1812-01-01,,,Rangoon,Burma,16.87N,95.44E
1812-02-01,,,Rangoon,Burma,16.87N,95.44E
1812-03-01,,,Rangoon,Burma,16.87N,95.44E
1812-04-01,,,Rangoon,Burma,16.87N,95.44E
1812-05-01,,,Rangoon,Burma,16.87N,95.44E
1812-06-01,,,Rangoon,Burma,16.87N,95.44E
1812-07-01,,,Rangoon,Burma,16.87N,95.44E
1812-08-01,,,Rangoon,Burma,16.87N,95.44E
1812-09-01,,,Rangoon,Burma,16.87N,95.44E
1812-10-01,,,Rangoon,Burma,16.87N,95.44E
1812-11-01,,,Rangoon,Burma,16.87N,95.44E
1812-12-01,,,Rangoon,Burma,16.87N,95.44E
1813-01-01,20.854,2.637,Rangoon,Burma,16.87N,95.44E
1813-02-01,24.57,1.596,Rangoon,Burma,16.87N,95.44E
1813-03-01,25.861,4.805,Rangoon,Burma,16.87N,95.44E
1813-04-01,30.147,1.443,Rangoon,Burma,16.87N,95.44E
1813-05-01,29.959,4.209,Rangoon,Burma,16.87N,95.44E
1813-06-01,27.007,2.072,Rangoon,Burma,16.87N,95.44E
1813-07-01,26.515,1.55,Rangoon,Burma,16.87N,95.44E
1813-08-01,25.747,1.189,Rangoon,Burma,16.87N,95.44E
1813-09-01,27.039,1.4980000000000000,Rangoon,Burma,16.87N,95.44E
1813-10-01,26.096,1.311,Rangoon,Burma,16.87N,95.44E
