dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1845-08-01,24.24,1.547,Kabul,Afghanistan,34.56N,70.05E
1845-09-01,20.006,1.663,Kabul,Afghanistan,34.56N,70.05E
1845-10-01,13.952,1.6370000000000000,Kabul,Afghanistan,34.56N,70.05E
1845-11-01,7.759000000000000,1.936,Kabul,Afghanistan,34.56N,70.05E
1845-12-01,1.2960000000000000,2.065,Kabul,Afghanistan,34.56N,70.05E
1846-01-01,2.108,2.862,Kabul,Afghanistan,34.56N,70.05E
1846-02-01,5.595,2.354,Kabul,Afghanistan,34.56N,70.05E
1846-03-01,9.534,2.234,Kabul,Afghanistan,34.56N,70.05E
1846-04-01,13.047,1.985,Kabul,Afghanistan,34.56N,70.05E
1846-05-01,20.163,2.273,Kabul,Afghanistan,34.56N,70.05E
1846-06-01,24.717,1.893,Kabul,Afghanistan,34.56N,70.05E
1846-07-01,26.396,1.807,Kabul,Afghanistan,34.56N,70.05E
1846-08-01,24.223000000000000,1.681,Kabul,Afghanistan,34.56N,70.05E
1846-09-01,20.228000000000000,1.885,Kabul,Afghanistan,34.56N,70.05E
1846-10-01,13.568,1.74,Kabul,Afghanistan,34.56N,70.05E
1846-11-01,8.136000000000000,1.891,Kabul,Afghanistan,34.56N,70.05E
1846-12-01,4.487,1.805,Kabul,Afghanistan,34.56N,70.05E
1847-01-01,2.2230000000000000,2.83,Kabul,Afghanistan,34.56N,70.05E
1847-02-01,4.996,2.083,Kabul,Afghanistan,34.56N,70.05E
1847-03-01,7.198,2.141,Kabul,Afghanistan,34.56N,70.05E
1847-04-01,14.358000000000000,2.032,Kabul,Afghanistan,34.56N,70.05E
1847-05-01,19.241,2.141,Kabul,Afghanistan,34.56N,70.05E
1847-06-01,23.439,1.925,Kabul,Afghanistan,34.56N,70.05E
1847-07-01,26.14,1.6970000000000000,Kabul,Afghanistan,34.56N,70.05E
1847-08-01,23.962,1.597,Kabul,Afghanistan,34.56N,70.05E
1847-09-01,20.17,1.753,Kabul,Afghanistan,34.56N,70.05E
1847-10-01,14.508,1.655,Kabul,Afghanistan,34.56N,70.05E
